row_id,dataset_idx,question,decision,gold,pred,all_gold_answers,context_full,retrieval_quality,utilization_type,notes
10,27,마르텔리노를 죽이겠다고 협박한 시장의 국적은?,SEARCH,독일,이탈리아,독일,"마르텔리노는 피렌체의 재주꾼으로 동료 두 명과 함께 독일의 한 마을에서 성골(聖骨,성인들의 유골)로 숭배받고 있는 하인리히의 시체를 구경하려고 한다. 그런데 너무 사람이 많아서 가까이 갈 수 없었으므로, 마르텔리노를 꾀를 내어 자신이 손발이 오그라든 신체장애인인 척하다 하인리히의 시체와 가까워지면 기적으로 걸을 수 있게 되는 척함으로써 사람들의 주목을 받으며 마음껏 구경한다.

그런데, 이 피렌체 재주꾼을 알아보는 사람이 있어서, 마르텔리노는 정체가 탄로나고, 속임수를 당한 것에 흥분한 군중들에게 몰매 맞아 죽기 직전에 이른다. 어쩔 수 없이, 마르텔리노의 동료들은 마르텔리노가 소매치기라고 거짓말을 해서 시장과 병사들이 마르텔리노를 연행해 오도록 해서 마르텔리노를 일단 구출한다. 마르텔리노가 소매치기라고 하자, 사람들은 저마다 돈을 도둑 맞았다고 하면서 돈을 내놓으라고 하고, 시장은 마르텔리노를 목매달아 죽이겠다고 협박한다.

마르텔리노는 목매달려 죽기 진전에, 사람들에게 물어보면 돈을 빼앗긴 시기와 장소가 제각각이라는 점을 지적하고, 동료들이 돌아와 자신들은 얼마전에 피렌체에서 온 사람임을 말하며 살려달라고 빌어서, 목숨을 구한다.",,,
11,28,제파 디 미노는 친구의 아내에게 함께 복수하기를 부탁하며 무엇을 건네었나?,NO_SEARCH,보석,그녀의 결혼 약혼금,보석,"제파 디 미노는 시에나에 사는 매우 유복한 평민이었다. 그에게는 항상 친하게 지내는 친구가 있었는데, 그 친구가 집을 자주 드나드는 동안 그만 그 친구와 제파 디 미노의 아내가 바람이 나고 말았다. 제파 디 미노는 그 사실을 알게 되어, 친구에게 복수할 꾀를 낸다.

제파 디 미노는 자신의 아내에게 죄를 물어서 아내가 자신의 말을 고분고분히 듣게 한 후에, 아내가 친구를 속이도록 해서 친구를 상자 속에 갇히도록 한다. 그리고, 제파 디 미노는 친구의 아내를 끌어 들여, 친구가 갇힌 상자 바로 앞에서, 이 모든 사실들을 다 친구의 아내에게 말하고, 친구의 아내에게 보석을 줄테니 복수를 위해 같은 일을 하지 않겠냐고 한다. 그리하여 친구의 아내와 제파 디 미노는 바로 친구가 갇혀 있는 그 상자 위에서 서로 어루만지며 즐기게 된다.

제파 디 미노는 마지막에 친구를 상자에서 꺼내 준다. 친구는 상자에서 자신의 아내가 제파 디 미노와 놀아나는 것을 생생하게 느꼈으므로, 크게 부끄러움을 느끼고 자신의 죄를 반성하였다. 이후 두 사람의 우정은 회복되었고, 친구의 제안에 따라 두 사람은 서로 아내들을 공유하여, 두 아내와 두 남편이 서로 자유롭게 상대를 바꾸며 지내는 사이가 된다.",,,
12,29,튀니스의 왕이 딸의 정략결혼을 원활히 진행하기 위해 도움을 청한 사람은?,SEARCH,귈리엘모,เกา리엘모 왕,귈리엘모 | 귈리엘모 왕 | 귈리엘모,"시칠리아의 귈리엘모 왕은 아들이 젊을 때 죽어, 그 아들이 남긴 손자가 있었는데, 그 손자의 이름은 제르비노로, 잘생긴 용모와 뛰어난 무용으로 알려져 있었다. 한편 튀니스의 공주 역시 미모로 세상에 이름을 떨쳤는데, 세월이 흐르는 동안 제르비노는 튀니스 공주를 동경하게 되고, 튀니스의 공주는 제르비노를 동경하게 된다. 두 사람은 한 번도 만난 적이 없이, 가끔 편지를 주고 받는 정도임에도 불구하고 매우 깊이 빠지게 된다.

그런데 튀니스의 공주는 다른 나라의 왕자와 정략 결혼을 하게 되고, 공주가 제르비노의 이야기를 들먹이며 이를 거부하자, 튀니스의 왕은 시칠리아의 귈리엘모 왕에게 공주의 혼사를 평화롭게 진행하도록 도울 것을 선언하도록 부탁한다. 귈리엘모 왕은 젊은이들의 연애에는 아무 관심이 없었으므로, 내막을 모르고 나라 간의 우의를 위해서 선언에 응한다.

결국 튀니스의 공주는 결혼을 하게 되고, 이 사실을 제르비노에게 알린다. 제르비노는 비장한 각오로 부하들을 데리고 배를 끌고 떠나, 튀니스가 결혼하려고 떠나는 배를 공격한다. 제르비노는 자신은 오직 공주만을 바랄 뿐, 모든 보물과 전리품은 마음껏 부하들에게 나누어가지라고 하여, 맹렬히 싸운다. 그리하여 제르비노는 배 위에 있는 공주를 멀리서 처음으로 보게되는데, 싸우는 도중에 분노한 적에 의하여 제르비노가 보는 눈 앞에서 공주는 칼에 잘린 후 바다에 던져진다. 결국 제르비노가 얻은 것은 공주의 시체 뿐이었으며, 싸움 이후, 튀니스의 왕이 귈리엘모 왕에게 항의를 하자, 귈리엘모 왕은 책임을 지기 위해 죄를 지은 제리비노를 눈물을 머금고 사형에 처한다.",,,
13,30,부팔마코를 볼 수 없게 만든 물건은?,SEARCH,마법의 돌,세관 관리 등이 부탁하여 칼란드리노가 안보이는 척 흉내내도록 했다. 이들은 칼란드리노에게 보물을 찾으러 가면서 아내에게,마법의 돌,"칼란드리노는 매우 어수룩한 사람으로 그 친구인 브루노와 부팔마코에게 항상 놀림거리가 된다. 하루는 칼란드리노의 소문을 듣고 한 사람이 칼란드리노에게 허풍을 떠는데, 자기는 온갖 기이한 나라를 다 가보았으며, 치즈로 된 산이 있고 먹을 것으로 된 들판이 있는 나라에도 가 보았다는 말을 했고, 세상의 기이한 돌 중에는 돌을 찧으면 먹을 것이 나오는 돌이 있는가 하면, 돌을 지니면 투명인간이 될 수 있는 돌도 있다고 떠들어 댄다.

칼란드리노는 그 말에 심취하여 투명인간이 되는 돌을 찾겠다고 나서고, 이를 놀리기 위해 브루노와 부팔마코도 따라 나선다. 칼란드리노가 강가에서 이런저런 돌을 주워 들자, 문득 브루노와 부팔마코는 칼란드리노가 보이지 않는 척 하고, 칼란드리노는 자기가 마법의 돌을 발견해서 투명인간이 된 줄 알고 매우 기뻐하면서 집으로 뛰어 온다. 브루노와 부팔마코는 세관 관리 등과도 짜고 부탁하여 칼란드리노가 안보이는 척 흉내내도록 한다.

칼란드리노는 자신이 투명인간이 되었다고 굳게 믿는다. 그런데 집에 도착하여, 아무것도 모르는 아내가 자신을 알아보자, 칼란드리노는 여자의 요사스러운 기운 때문에 부정을 타서 마법이 깨어졌다면서 너무나 안타까워한다. 그리고 화풀이로 아내와 치고 받으며 싸우게 된다. 브루노와 부팔마코는 그 광경을 보고 박장대소 하면서, 칼란드리노에게 보물을 찾으러 가면서 아내에게 알리지 않은 죄라면서 말린다.",,,
14,33,현생 양서류의 호흡방식을 이용해 몸 밖으로 내보낼 수 있는 것은?,SEARCH,이산화탄소,피부를 통해 호흡하기 위한 방출구,이산화탄소,"초기 미치류는 잘 발달된 내부 아가미와 조상들이 가지고 있던 부레로부터 파생된 원시 허파를 가지고 있었다 이들은 공기를 호흡할 수 있었기 때문에 따뜻한 여울에 살면서 수중 산소농도가 낮을 경우 큰 이점을 가지게 되었다. 횡격막은 없었고 많은 경우 갈비뼈는 너무 짧거나 너무 촘촘히 나있어서 허파를 확장시키는 데 도움이 되지는 않았다. 현생 양서류처럼 목 쪽의 공기 주머니를 두개골 바닥에 눌러 허파에 공기를 주입하는 식이었을 가능성이 높으며 이것이 아마도 후대에 납작한 두개골 모양을 유지한 이유였을 것이다. 갈비뼈를 이용해 날숨을 쉬는 것은 양막류로 이어지는 계통에서만 진화했던 것으로 보인다 수중생활을 하는 종류들 다수는 유생 때의 아가미를 성체가 되어서도 유지했다.

공기 중 산소와 이산화탄소 농도가 높았던 시기, 특히 석탄기 당시에는 원시적인 목의 공기주머니를 이용한 호흡방법으로 덩치가 큰 미치류들도 충분한 산소를 얻을 수 있었다. 땅 위에서는 이산화탄소를 제거하는 것이 큰 문제였고, 큰 몸집의 미치류들은 혈중 탄산 농도에 대한 내성을 높이고 물로 돌아갔을 때 피부를 통해 이산화탄소를 방출하는 방법을 썼을 것이다 물고기 조상으로부터 물려받은 능형 비늘을 잃으면서 현생 양서류처럼 피부를 통한 추가적인 호흡이 가능해졌다.",,,
15,37,진양서류가 화석 상태로 남아있을 가능성이 희박한 원인은 무엇인가?,NO_SEARCH,부서지기 쉬운 뼈,"지역의 지질학적 특성과 시간이 길며, 산업 활동 영향이 적기 때문. 규칙적으로 수분과 산소에 노출되지 않아서.",부서지기 쉬운 뼈,"진양서류, 즉 모든 현생 양서류가 미치류에서 기원했다는 것이 일반적으로 받아들여지긴 하지만, 사람들의 동의는 거기에서 끝이다 진양서류의 부서지기 쉬운 뼈는 화석으로 보존되는 경우가 극히 드물고, 현생 양서류는 독자적인 특징들을 많이 가지고 있어서 화석 미치류와 비교하는 것이 쉽지 않다.

전통적으로 진양서류의 조상으로는 공추류가 선호되어 왔다. 현생 양서류처럼 공추류는 몸집이 작고 척추뼈 모양이 단순하며 외부 구조나 추측되는 생태적 지위 등 여러 측면에서 진양서류를 닮았기 때문이다. 강 수준에서 볼 때 공추류가 미치류에서 기원하고 다시 진양서류가 공추류에서 기원했다고 생각해 왔다 몇몇 분지학적 연구에서도 공추류와의 관련성을 선호하지만 공추류를 파충류형 양서류와 근연관계로 보거나 파충류형 양서류에서 기원했다고 본다. 이런 관점의 문제라면 애초에 공추류가 단계통군인지 아닌지가 의문시 된다는 점이다 

다른 연구들에서는 분추류와 진양서류가 가까운 유연관계를 가지고 있다고 본다 분추류의 한 과인 암피바미드과가 진양서류의 조상일 수 있다고 본다. 암피바미드 중에서 게로바트라쿠스는 2008 년에 기술되었는데, 분추류와 개구리 및 도롱뇽의 과도기 화석이라고 제안되었다. 게로바트라쿠스는 넓은 두개골, 짧은 꼬리, 그리고 작은 이빨 등 개구리와 도롱뇽의 특징을 뒤섞어서 가지고 있다. 

문제를 복잡하게 만드는 것은 진양서류 자체가 다계통군일 수 있다는 점이다. 소수의견이긴 하지만 이런 관점이 여러 번 변형되어 제시되어 왔다. 군나르 새비-소더버그와 에릭 자르빅의 ""스톡홀름 학파""는 20 세기의 상당한 기간 동안 코 및 두개의 신경 구조에 기반에 양서류가 다계통군이라고 주장해 왔다. 이들의 관점에 따르면 공추류는 개구리의 조상이며 도롱뇽과 무족영원류는 독립적으로 포롤레피스과 어류에서 진화했다고 한다. 로버트 L. 캐롤은 꼬리가 있는 양서류(도롱뇽과 무족영원류)는 공추류인 미크로사우리아로부터, 그리고 개구리는 분추류로부터 파생되었다고 제안했다. 게로바트라쿠스의 분지학적 분석에 의하면 도롱뇽과 개구리는 분추류로부터 진화했으며, 무족영원류는 파충류형 양서류의 자매 그룹이라서 진양서류 자체가 나머지 네발동물의 강들을 제외한 진화적 그레이드(evolutionary grade)라고 제안되었다 진양서류의 기원과 다양한 미치류 그룹들 간의 관계에 대한 의견일치가 빠른 시일 내에 이루어질 것 같지는 않다.",,,
16,43,실존하는 발광체로 만들 수 있는 색깔을 의미하는 단어는?,SEARCH,현실색,발광체 색깔,현실색,"현실색은 실제 광원에서 생성할 수 있는 색상이다. 두 현실색의 가산 혼합도 현실색이다. CIE 1931 XYZ 색 공간에 색상이 나타나면 추가 혼합색은 혼합되는 색상 사이의 선을 따라 색상이 된다. 따라서 아무 세 색상을 혼합하여 삼각형에 포함된 색상을 만들 수 있다. 이것을 이 세 색으로 만들어진 색역이라고 부르고, 처음의 색상들을 원색이라고 부른다. 선택한 원색을 혼합하여 이 삼각형 외부의 어떤 색상도 얻을 수 없다.

원색을 정의 할 때는 가능한 한 많은 현실색을 색역 내에 남겨 두는 것이 목표이다. 현실적인 색역은 삼각형이 아니므로 전체 영역에 걸쳐있는 세 가지 실제 색상을 선택할 수는 없다. 실제 기본 색상을 3개 이상 선택하면 색역을 늘릴 수 있지만 실제 색상 영역은 다각형이 아니므로 항상 가장자리에 약간의 색상이 남아 있다. 따라서 색역 밖의 색상을 원색으로 고른다. 다시 말해서 상상의 원색을 고른다는 것이다. 수학적으로, 그 색역은 이 방식으로 만든 소위 ""가상 색상""이라고 부르는 색상을 포함한다.

컴퓨터 및 텔레비전 스크린 컬러 디스플레이에서, 색역의 원색은 순수한 적색, 녹색, 청색에 가능한 한 가깝게 선택되고 따라서 실제 색역 내에 있는 상업적으로 이용 가능한 형광체에 의해 정의된다 이러한 색 공간 다이어그램은 컴퓨터 화면의 색역 외부의 실제 색 대신 색 영역 삼각형 안에 가장 가까운 색으로 표시됩니다. 디스플레이 장치에서 사용 가능한 색상 범위에 대한 자세한 내용은 색역 문서를 참조하라.",,,
17,44,그라노비타야 궁의 붉은 계단을 복원시킨 군주는?,SEARCH,알렉산드르 3세,니콜라이 2세,알렉산드르 3세,"그라노비타야궁이라는 이름은 궁전의 동쪽 파사드에 있는 정교한 석재 장식물들 때문에 붙은 이름이다. 현재의 그라노비타야궁은 한때 순백의 석회암으로 지어진 거대한 궁전의 일부이다. 외부 정면에서 바라볼 때에는 3층의 직사각형 건물로 보이나, 실제로 안에 들어가 보면 반지하실을 가진 1층짜리 건물이다. 서쪽 면에는 통로가 있어 곧바로 크렘린 대궁전의 중앙 건물로 출입할 수 있도록 설계되어 있다.

그라노비타야궁의 1층에는 현관과 함께 거대한 주 홀이 자리하고 있다. 둘 다 모두 아름다운 프레스코화와 정교한 석재 장식으로 마감되어 있으며, 주 홀의 면적은 약 500 m² (5,380 ft²)에 달한다. 주 홀의 현관, 벽, 그리고 홀의 천장들은 모두 러시아 정교회와 러시아 역사를 상징하는 프레스코화로 뒤덮여 있다. 이 프레스코화들은 1880년에 알렉산드르 3세에 의하여 복구된 것들이다. 이 곳은 16세기와 17세기에 차르들의 알현실로 활용되었으며, 현재도 러시아의 공식적인 행사 때 알현실의 용도를 하고 있다. 

건물의 남쪽 파사드에는 '붉은 계단'이 있다. 붉은 계단은 난간에 사자 장식이 있는 계단으로, 차르들이 이 계단을 내려와 즉위식을 하기 위해 교회로 들어갔다. 이 계단이 마지막으로 이 용도로 사용된 것은 1896년에 니콜라이 2세의 즉위식 때였다. 1682년 때의 반란에는 당시 황제였던 표트르 1세의 정적들이 이 계단으로 굴러떨어져 밑에서 기다리고 있던 군사들에 의해 목숨을 잃었기도 하다. 1930년대에 이오시프 스탈린은 이 계단을 군주제의 상징물로 여겨 없애버렸으나, 소련이 붕괴된 이후 1994년에 막대한 비용을 들여 다시 복원하였다.",,,
18,51,튀코 브라헤는 프레데리크 2세가 사망한 후 어디로 이주하나요?,SEARCH,프라하,프라ha로 이주한다. 株式会社さくらの星,프라하,"튀코 브라헤(Tycho Brahe, 1546년 12월 14일 ~ 1601년 10월 24일)는 덴마크의 천문학자이다. 로스토크 대학에서 공부했다.

1572년, 카시오페이아자리에서 신성을 발견하여 맨눈으로 관찰할 수 없을 때까지 14개월간 관측을 계속하여 기록을 남겼다. 이러한 재능이 인정되어 덴마크왕 덴마크의 프레데리크 2세 의 지원을 받아 벤 섬에 우라니보르 천문대, 스티에르네보르 천문대를 건설하고 방대하고 정밀한 관측기록을 남긴다. 프레데리크 2세가 죽은 후, 1599년에는 신성 로마 제국 황제 루돌프 2세 황실부 제국수학관에 초청되어 프라하로 이주한다.

천문학자로서 그는 코페르니쿠스 체계(지동설)의 기하학적 장점과 프톨레마이오스 체계(천동설)의 철학적 장점을 결합하여 태양이 지구 둘레를 도는 동시에 다른 행성들이 태양 둘레를 돈다는 독특한 '튀코 체계'(수정된 천동설)를 주장하였고, 이 학설의 선취권 문제로 라이마루스 우르소와 싸움을 벌였다. 그러나 브라헤가 천동설을 옹호하기 위해 남긴 관측기록은 그가 병으로 죽은 후 제자이며 공동연구자였던 요하네스 케플러가 그의 기록을 분석하여 케플러 법칙을 발견해 내면서 지동설을 지지하는 결정적인 증거가 되었다.

튀코 브라헤는 1577년 나타난 혜성에 대해서도 많은 관측결과를 남겼으며, 혜성 현상이 달보다 먼 곳에서 일어났다는 사실을 증명해 냈다. 그 혜성관측결과와 신성의 발견은 달보다 먼 곳에서는 어떠한 변화도 일어나지 않고 있다는 당시의 천동설을 반증하는 한 증거이기도 했다.",,,
19,53,숲속의 정경'이 수록된 CD는?,SEARCH,‘오이제비우스’,CD2,‘오이제비우스’ | 오이제비우스,"피아니스트 백건우가 음악적, 문학적 영감과 꿈이 가득한 젊은 날의 슈만, 그리고 광기가 깊어져 어둠으로 사라지고 있는 슈만을 모두 담은 새 앨범 ‘슈만’을 오늘(17일) 발매한다. 두 장의 CD로 구성된 이번 앨범은 각각 ‘오이제비우스’(CD1)와 ‘플로레스탄’(CD2)이라는 이름이 붙었다. ‘오이제비우스’는 내성적이며 꿈꾸는 듯한, ‘플로레스탄’은 열정적이며 공격적인 슈만의 서로 다른 자아를 상징한다. 대조적인 두 개의 자아는 슈만을 비추는 다르면서도, 동시에 같은 거울이었고 이번 앨범을 통해서 피아니스트 백건우가 보여주고 싶었던 슈만의 모습을 담고 있다. 백건우는 녹음에 앞서 작곡가에 대한 다양한 문헌을 토대로 심도 있는 연구를 선행하는 것으로 유명하다. 그는 이번에도 역시 슈만에 대한 깊은 고찰을 통해 입체적이면서도 자서전적인 앨범을 세상에 내놓았다. 첫 번째 CD ‘오이제비우스’의 포문은 슈만의 공식적인 첫 번째 작품으로 알려진 ‘아베크 변주곡’이 연다. 두 번째 수록곡은 숲에 대한 낭만주의자 슈만의 동경과 불안을 그린 음악적 풍경화인 ‘숲속의 정경’이다. 그 다음 곡인 ‘어린이의 정경’은 원래 모두 서른 곡이나, 그 가운데 열 세곡만 선별해 담았다. ‘어린이의 정경’은 제목과 달리 어린이를 위한 것도 아니고, 어린 시절을 회상하며 쓴 곡이라고 말하기도 어렵다. 슈만은 클라라를 향한 사랑의 편지를 쓰거나, 작곡을 했는데 이 둘은 모두 슈만에게 같은 행위였다. ‘어린이의 정경’은 클라라의 편지에 대한 슈만의 음악 답장이었다. 마지막 곡은 라인강에서 투신한 뒤 정신병원에 입원해서 완성한 ‘유령 변주곡’이다. 두 번째 CD ‘플로레스탄’에서 주목할 만한 작품은 ‘새벽의 노래’와 ‘밤의 소곡’이다. ‘새벽의 노래’ 작품은 슈만이 광기에 완전히 자신을 잃지 않은 상태에서 작곡된 마지막 작품이라고 말할 수 있다. ‘밤의 소곡’은 슈만이 작곡한 작품들 가운데 가장 어둡다. 첫 곡은 마치 장례행렬을 연상케 하는 한없이 무거운 행진곡이다. 슈만은 이 시기에 죽음에 사로잡혀 있었는데, 그는 클라라에게 ‘이 곡을 작곡하는 동안 장례식과 관들, 그리고 어두운 표정의 사람들이 보인다’고 편지를 쓰기도 했다. 한편 백건우는 다음달 9일 서울 롯데콘서트홀을 시작으로 11월 21일까지 전국 투어를 진행할 예정이다.",,,
